Unnamed: 0.1,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,frère,brother
11,11,laisser,let
12,12,car,because
13,13,mettre,to put
14,14,aucun,no
15,15,laisse,leash
16,16,eux,them
17,17,ville,city
18,18,chaque,each
19,19,parlé,speak
20,20,arrivé,come
21,21,devrait,should
22,22,bébé,baby
23,23,longtemps,long time
24,24,heures,hours
25,25,vont,will
26,26,pendant,while
27,27,revoir,meet again
28,28,aucune,any
29,29,place,square
30,30,parle,speak
31,31,compris,understood
32,32,savais,knew
33,33,étaient,were
34,34,attention,Warning
35,35,voici,here is
36,36,pourrais,could
37,37,affaire,case
38,38,donner,give
39,39,type,type
40,40,leurs,their
41,41,donné,given
42,42,train,train
43,43,corps,body
44,44,endroit,place
45,45,yeux,eyes
46,46,façon,way
47,47,écoute,listen
48,48,dont,whose
49,49,trouve,find
50,50,premier,first
51,51,perdu,lost
52,52,main,hand
53,53,première,first
54,54,côté,side
55,55,pouvoir,power
56,56,vieux,old
57,57,sois,be
58,58,tiens,here
59,59,matin,morning
60,60,tellement,so much
61,61,enfant,child
62,62,point,point
63,63,venu,came
64,64,suite,after
65,65,pardon,sorry
66,66,venez,come
67,67,devant,in front of
68,68,vers,towards
69,69,minutes,minutes
70,70,demandé,request
71,71,chambre,bedroom
72,72,mis,placed
73,73,belle,beautiful
74,74,droit,law
75,75,aimerais,would like to
76,76,aujourd'hui,today
77,77,mari,husband
78,78,cause,cause
79,79,enfin,finally
80,80,espère,hope
81,81,eau,water
82,82,attendez,Wait
83,83,parti,left
84,84,nouvelle,new
85,85,boulot,job
86,86,arrêter,Stop
87,87,dirait,would say
88,88,terre,Earth
89,89,compte,account
90,90,donne,given
91,91,loin,far
92,92,fin,end
93,93,croire,believe
94,94,chérie,sweetheart
95,95,gros,large
96,96,plutôt,rather
97,97,aura,will have
98,98,filles,girls
99,99,jouer,to play
100,100,bureau,office
